id_pedido,previsao_min,tempo_real_min,tempo_corrigido_min,delivery_distance,tempo_coleta,Agent_Rating,Agent_Age,Vehicle,Weather,Traffic,Area,weekend,is_grocery,jam_or_high_traffic,is_sunny_weather,tempo_criacao_sim,tempo_conclusao_sim,decisao,is_otd_corrigido,dia
pedido_5.6975_4,40.03559354462831,49.59932577027453,9.599325770274532,9.850281323198287,5,4.712986393732771,32,Moto,Foggy,Jam,Metropolitian,True,1,1,0,5.69750915989441,15.296834930168941,Intervenção_Alto_Reforçado,1,1
pedido_8.7696_5,33.97816618771935,20.980419625806505,20.980419625806505,14.91332284289328,5,4.83595459348806,25,Moto,Foggy,High,Metropolitian,False,1,1,0,8.769623056542153,29.750042682348656,Nenhuma,1,1
pedido_55.9299_34,43.908341544322454,49.55063887584673,9.55063887584673,2.4260657307161617,5,4.492149810443368,35,Scooter,Sandstorms,High,Metropolitian,True,1,1,0,55.92986087512655,65.48049975097328,Intervenção_Alto_Reforçado,1,1
pedido_47.8924_31,28.316095657610674,29.59785606822313,29.59785606822313,15.883176519652313,10,4.77736981600789,28,Scooter,Sunny,Jam,Metropolitian,False,1,1,1,47.89238222581917,77.4902382940423,Nenhuma,1,1
pedido_9.7085_8,36.5030811002045,69.24521693146016,69.24521693146016,10.120823935093835,10,4.625514576983609,37,Moto,Foggy,Low,Metropolitian,False,1,0,0,9.70847281800133,78.95368974946149,Nenhuma,1,1
pedido_63.9460_42,48.0695906798223,58.608465246802396,18.608465246802396,16.955952818603024,5,4.481498822323449,34,Moto,Stormy,Jam,Metropolitian,False,1,1,0,63.94601383795593,82.55447908475833,Intervencao_Risco_Extremo,1,1
pedido_56.7597_36,28.13906188200872,25.98185629435364,25.98185629435364,4.2996429897018915,10,5.251223221881194,24,Scooter,Sandstorms,Medium,Metropolitian,False,1,0,0,56.759744208659924,82.74160050301356,Nenhuma,1,1
pedido_0.0100_0,82.4384895894748,104.21491904667933,84.21491904667933,3.9621078101823777,5,4.895453102194422,28,Scooter,Foggy,Low,Urban,False,0,0,0,0.01,84.22491904667933,Intervenção_Médio_Risco,1,1
pedido_11.0416_9,123.28817851815916,125.76164101318466,85.76164101318466,17.585025872669867,10,4.661376985929953,22,Moto,Stormy,High,Metropolitian,False,0,1,0,11.041630709038547,96.8032717222232,Intervencao_Risco_Extremo,1,1
pedido_8.9483_6,123.04930885124232,125.95455970253765,95.95455970253765,11.01028747654637,10,4.827388874217387,21,Scooter,Stormy,High,Metropolitian,True,0,1,0,8.948346188802113,104.90290589133977,Intervenção_Alto_Risco,1,1
pedido_9.1645_7,109.36393677506902,126.63117626973775,96.63117626973775,7.303435078861556,15,4.6655090901608505,25,Moto,Sandstorms,High,Metropolitian,False,0,1,0,9.164450764822867,105.79562703456062,Intervenção_Alto_Risco,1,1
pedido_59.4515_39,29.975823988430587,47.549689627394855,47.549689627394855,1.8998693158537234,15,4.844676988468175,22,Scooter,Sandstorms,Jam,Metropolitian,False,1,1,0,59.45152791408521,107.00121754148006,Nenhuma,1,1
pedido_56.2103_35,40.95249293530604,52.93190697983722,52.93190697983722,7.773310377690752,10,4.4672362695649985,27,Van,Foggy,High,Metropolitian,False,1,1,0,56.21028721869621,109.14219419853343,Nenhuma,1,1
