id_pedido,previsao_min,tempo_real_min,tempo_corrigido_min,delivery_distance,tempo_coleta,Agent_Rating,Vehicle,Weather,Traffic,Area,weekend,is_grocery,jam_or_high_traffic,is_sunny_weather,tempo_criacao_sim,tempo_conclusao_sim,decisao,is_otd_corrigido
pedido_19.772835642452364_11,45.26148271349147,37.760670008912534,37.760670008912534,15.420434876041949,10,4.9177326701411,Scooter,Sandstorms,High,Metropolitian,True,1,1,0,19.772835642452364,67.53350565136489,Nenhuma,1
pedido_3.912228685528988_3,134.17369593813783,98.88459389945655,83.88459389945655,13.564695710882175,15,4.81620461574753,Moto,Stormy,Jam,Metropolitian,False,0,1,0,3.912228685528988,102.79682258498553,Aumento_Velocidade,1
pedido_2.1369238588688275_2,99.54230130769615,86.5446537267328,86.5446537267328,5.976424064193851,15,4.958983442996519,Moto,Foggy,Low,Urban,True,0,0,0,2.1369238588688275,103.68157758560163,Nenhuma,1
pedido_74.03531623831944_59,34.617182287694085,30.06196003414628,30.06196003414628,3.0513975650915954,5,4.581857524127207,Moto,Sunny,Medium,Metropolitian,True,1,0,1,74.03531623831944,109.09727627246572,Nenhuma,1
pedido_37.627073267243844_26,100.90298526224777,72.49518608109665,57.49518608109665,15.727413878452166,15,4.806319575317761,Moto,Sunny,Medium,Metropolitian,False,0,0,1,37.627073267243844,110.12225934834049,Rota_Reduzida,1
pedido_36.33043956546743_24,97.64785828064164,89.15244980822736,74.15244980822736,7.9492200745636055,5,4.836635362961389,Moto,Sunny,High,Urban,True,0,1,1,36.33043956546743,115.48288937369479,Aumento_Velocidade,1
pedido_5.571670024034448_5,134.22156031072382,123.17917423017573,108.17917423017573,6.987375758200795,5,4.765620428941023,Moto,Sandstorms,Medium,Metropolitian,False,0,0,0,5.571670024034448,118.75084425421018,Rota_Reduzida,1
pedido_3.989803743241983_4,133.41595329693868,115.47673303305629,100.47673303305629,11.173717254882783,15,4.8398239576315385,Scooter,Windy,High,Metropolitian,False,0,1,0,3.989803743241983,119.46653677629827,Aumento_Velocidade,1
pedido_7.880414689974019_6,136.60354200352634,118.76074171328654,103.76074171328654,9.823608869017622,10,4.566467469429955,Moto,Foggy,Medium,Metropolitian,True,0,0,0,7.880414689974019,121.64115640326055,Rota_Reduzida,1
pedido_23.634227741241457_14,103.89930928252124,103.28429404950813,88.28429404950813,12.255555282405036,10,5.0,Scooter,Sunny,High,Urban,True,0,1,1,23.634227741241457,121.9185217907496,Aumento_Velocidade,1
pedido_1.223939150700383_1,133.41595329693868,131.21744281667662,116.21744281667662,11.400722052878194,5,4.7574616119023965,Moto,Windy,High,Metropolitian,False,0,1,0,1.223939150700383,122.44138196737701,Aumento_Velocidade,1
pedido_0.5124988051044073_0,140.7062187728864,125.17566487894342,110.17566487894342,17.463634839613867,15,4.999464491784286,Scooter,Windy,Jam,Urban,False,0,1,0,0.5124988051044073,125.68816368404782,Aumento_Velocidade,1
pedido_57.216102898581944_44,96.45092969835939,82.34159448535041,67.34159448535041,9.391624324133572,5,4.599644119172016,Moto,Sunny,High,Urban,False,0,1,1,57.216102898581944,129.55769738393235,Aumento_Velocidade,1
pedido_11.805911905968687_8,133.28348391376278,125.03751802780116,110.03751802780116,7.026516011517557,10,4.580210324644656,Scooter,Foggy,High,Metropolitian,False,0,1,0,11.805911905968687,131.84342993376984,Aumento_Velocidade,1
pedido_24.075162550188043_15,132.72106082191758,117.85288209191286,102.85288209191286,9.154863900450444,10,4.90608928078641,Scooter,Foggy,High,Urban,False,0,1,0,24.075162550188043,136.9280446421009,Aumento_Velocidade,1
pedido_39.377535648664995_28,99.73021535113286,88.584601927986,88.584601927986,6.63101188726839,10,4.681934754318347,Moto,Foggy,Low,Metropolitian,False,0,0,0,39.377535648664995,137.962137576651,Nenhuma,1
pedido_17.446525346997866_10,137.94179570296689,131.01991701376133,116.01991701376133,13.558978074029246,5,5.0,Moto,Stormy,Jam,Metropolitian,False,0,1,0,17.446525346997866,138.4664423607592,Aumento_Velocidade,1
pedido_36.412849635458436_25,109.613570526908,112.1114574390467,97.1114574390467,12.527100062942516,5,4.737032481809108,Moto,Sunny,Jam,Urban,False,0,1,1,36.412849635458436,138.52430707450515,Aumento_Velocidade,1
