id_pedido,previsao_min,tempo_real_min,tempo_corrigido_min,delivery_distance,tempo_coleta,Agent_Rating,Vehicle,Weather,Traffic,Area,weekend,is_grocery,jam_or_high_traffic,is_sunny_weather,tempo_criacao_sim,tempo_conclusao_sim,decisao,is_otd
pedido_15.13400167515263_6,39.10928602068115,22.206803438771445,22.206803438771445,4.103195450043093,10,4.922267786145124,Scooter,Sunny,Jam,Metropolitian,False,1,1,1,15.13400167515263,47.34080511392408,Nenhuma,1
pedido_28.553710698629995_13,38.838967407147756,20.635231784510623,20.635231784510623,11.633242821332518,15,4.878391991457943,Moto,Sunny,High,Metropolitian,False,1,1,1,28.553710698629995,64.18894248314062,Nenhuma,1
pedido_44.181335642738574_26,38.32020944416124,30.656608662754024,30.656608662754024,5.0767361303979985,10,4.583011080684423,Moto,Sunny,High,Metropolitian,False,1,1,1,44.181335642738574,84.8379443054926,Nenhuma,1
pedido_15.855421153916739_7,96.36642948868851,78.38730446083837,63.387304460838365,3.219746844480166,10,4.641736024378318,Moto,Sunny,Medium,Metropolitian,True,0,0,1,15.855421153916739,89.2427256147551,Rota_Reduzida,1
pedido_54.2477423136686_34,45.687550330928836,30.88673539998115,30.88673539998115,4.9584120110854055,15,4.523461180713885,Moto,Sandstorms,Jam,Metropolitian,False,1,1,0,54.2477423136686,100.13447771364974,Nenhuma,1
pedido_11.293187996086125_2,109.04725505516431,90.9480034720932,75.9480034720932,15.327597275766042,15,4.86700731274813,Scooter,Sunny,Jam,Metropolitian,False,0,1,1,11.293187996086125,102.24119146817932,Aumento_Velocidade,1
pedido_30.074399604392564_14,48.64645348165062,66.47279436047393,66.47279436047393,19.39593116427426,10,4.539490014316949,Scooter,Sandstorms,Jam,Metropolitian,False,1,1,0,30.074399604392564,106.5471939648665,Nenhuma,1
pedido_14.351660543074413_4,96.38283876439648,88.01162585821262,88.01162585821262,2.6839062761862706,5,4.577910547791436,Moto,Sunny,Low,Metropolitian,False,0,0,1,14.351660543074413,107.36328640128704,Nenhuma,1
pedido_34.70712250625292_17,95.86854740525581,79.40277017082786,64.40277017082786,8.055333719884592,10,4.690466803962254,Moto,Sunny,Medium,Metropolitian,False,0,0,1,34.70712250625292,109.10989267708078,Rota_Reduzida,1
pedido_53.73211520826628_33,46.376874207476405,56.219683418367815,56.219683418367815,10.990472054815879,5,4.839584997292767,Scooter,Foggy,Medium,Metropolitian,False,1,0,0,53.73211520826628,114.95179862663409,Nenhuma,1
pedido_42.43606377288894_23,99.54230130769615,63.08997016725536,63.08997016725536,5.8672137749536475,15,4.953376010873968,Van,Foggy,Low,Metropolitian,True,0,0,0,42.43606377288894,120.5260339401443,Nenhuma,1
pedido_35.21183001761765_18,103.00151261131579,80.2650030173161,80.2650030173161,11.065400153228019,10,4.866423565449586,Scooter,Sandstorms,Low,Urban,False,0,0,0,35.21183001761765,125.47683303493375,Nenhuma,1
pedido_71.64541922494585_44,44.606279189826175,39.591033136264336,39.591033136264336,5.017117360196445,15,4.81608747715286,Moto,Foggy,High,Metropolitian,False,1,1,0,71.64541922494585,126.23645236121018,Nenhuma,1
pedido_78.55630038311202_46,48.022802970636626,43.158792193277726,43.158792193277726,18.638664639062043,5,4.769273791455429,Moto,Windy,Jam,Metropolitian,True,1,1,0,78.55630038311202,126.71509257638974,Nenhuma,1
pedido_84.32050608481525_51,44.60982543153522,28.259875588414893,28.259875588414893,13.836320561457267,15,4.846585715664714,Moto,Foggy,High,Metropolitian,False,1,1,0,84.32050608481525,127.58038167323014,Nenhuma,1
pedido_1.0369859731507571_0,143.91657363377087,137.9686303282995,122.9686303282995,18.57741406336539,5,4.646317409349963,Scooter,Foggy,Medium,Urban,False,0,0,0,1.0369859731507571,129.00561630145026,Rota_Reduzida,0
pedido_11.089888595971495_1,136.96837321796033,117.97436985514082,102.97436985514082,16.721635663445248,15,4.534047850952266,Scooter,Windy,Jam,Metropolitian,False,0,1,0,11.089888595971495,129.06425845111232,Aumento_Velocidade,0
pedido_25.272466423776205_11,136.91740120607304,112.0765112199619,97.0765112199619,15.391415610724207,15,4.547505646222296,Moto,Sandstorms,High,Metropolitian,True,0,1,0,25.272466423776205,137.34897764373812,Aumento_Velocidade,0
pedido_23.207918217008224_10,127.40830342628186,128.27313297463394,113.27313297463394,6.990308561008357,5,4.8736107898091445,Scooter,Windy,Jam,Metropolitian,False,0,1,0,23.207918217008224,141.48105119164217,Aumento_Velocidade,0
