id_pedido,previsao_min,tempo_real_min,tempo_corrigido_min,delivery_distance,tempo_coleta,Agent_Rating,Vehicle,Weather,Traffic,Area,weekend,is_grocery,jam_or_high_traffic,is_sunny_weather,tempo_criacao_sim,tempo_conclusao_sim,decisao,is_otd
pedido_1.4297822025327416_0,43.168452630120115,43.50432176625503,43.50432176625503,2.9745403183728194,5,4.75371232413085,Scooter,Foggy,Medium,Metropolitian,True,1,0,0,1.4297822025327416,49.934103968787774,Nenhuma,1
pedido_7.345318256217287_3,43.92277103045097,44.825091150317114,44.825091150317114,11.736857877820569,5,4.8427726046304365,Moto,Sunny,Low,Metropolitian,False,1,0,1,7.345318256217287,57.170409406534404,Nenhuma,1
pedido_26.473147405340633_15,43.50260003401039,39.51806132131806,39.51806132131806,13.23710266438764,5,4.816375789025873,Van,Stormy,High,Metropolitian,False,1,1,0,26.473147405340633,70.9912087266587,Nenhuma,1
pedido_35.47965027855455_22,45.62595244512005,41.03380476168459,41.03380476168459,15.683005246293623,15,4.451563583775273,Scooter,Foggy,High,Metropolitian,False,1,1,0,35.47965027855455,91.51345504023914,Nenhuma,1
pedido_13.295106420210379_4,124.61148129266216,102.91552029751233,82.91552029751233,1.5578262456761833,5,4.759980947303827,Scooter,Foggy,High,Other,False,0,1,0,13.295106420210379,101.2106267177227,Rota_Reduzida,1
pedido_24.422894771331343_12,110.67991680109118,89.41151962222489,74.41151962222489,14.015694022906269,5,4.964121815562218,Moto,Sunny,Jam,Metropolitian,False,0,1,1,24.422894771331343,103.83441439355623,Aumento_Velocidade,1
pedido_46.133882260102354_29,48.98733359245741,45.35862651650421,45.35862651650421,13.93298417566288,15,4.826420233194708,Moto,Foggy,Medium,Metropolitian,True,1,0,0,46.133882260102354,106.49250877660657,Nenhuma,1
pedido_5.778203285438909_1,133.29583074714068,119.99248605280815,104.99248605280815,18.623909052405256,5,4.602449166288424,Moto,Windy,High,Metropolitian,False,0,1,0,5.778203285438909,115.77068933824705,Aumento_Velocidade,0
pedido_15.946880176940919_5,129.72325151464426,108.82823362157119,93.82823362157119,9.999223687166134,10,4.709354848102157,Scooter,Stormy,High,Metropolitian,True,0,1,0,15.946880176940919,119.77511379851211,Aumento_Velocidade,1
pedido_30.670636871991483_18,131.3211239078799,90.99436392196532,75.99436392196532,7.87167410683195,15,4.883788279601566,Moto,Stormy,Medium,Urban,False,0,0,0,30.670636871991483,121.6650007939568,Rota_Reduzida,1
