id_pedido,previsao_min,tempo_real_min,tempo_corrigido_min,delivery_distance,tempo_coleta,Agent_Rating,Vehicle,Weather,Traffic,Area,weekend,is_grocery,jam_or_high_traffic,is_sunny_weather,tempo_criacao_sim,tempo_conclusao_sim,decisao
pedido_34.113213438239_13,53.891909062050026,56.252479574164674,56.252479574164674,12.81318940098032,5,4.424936899760908,Scooter,Stormy,Low,Urban,False,1,0,0,34.113213438239,95.36569301240368,Nenhuma
pedido_71.6832299879456_30,47.20337022542552,17.247454993568525,17.247454993568525,5.969504876336421,15,5.0,Scooter,Foggy,Jam,Urban,True,1,1,0,71.6832299879456,103.93068498151412,Nenhuma
pedido_13.339140639229697_5,99.73021535113286,80.46904552892245,80.46904552892245,6.2684719703093394,15,4.680031349625614,Moto,Foggy,Low,Metropolitian,False,0,0,0,13.339140639229697,108.80818616815215,Nenhuma
pedido_10.512335689689019_3,101.85067578837038,99.83758748749017,84.83758748749017,14.73181228236848,15,4.950588341451344,Scooter,Sunny,High,Metropolitian,False,0,1,1,10.512335689689019,110.34992317717919,Aumento_Velocidade
pedido_44.29395629230467_16,103.33931320325576,67.45672121306352,52.45672121306352,3.1159350848867695,15,4.541364206786199,Moto,Sunny,High,Metropolitian,False,0,1,1,44.29395629230467,111.75067750536819,Aumento_Velocidade
pedido_5.055078023534754_0,130.77423545556348,101.79075775922288,101.79075775922288,13.834724111782204,10,4.680713999585996,Van,Stormy,High,Metropolitian,True,0,1,0,5.055078023534754,116.84583578275763,Nenhuma
pedido_56.30517547009413_24,95.54621114191794,64.78887341158165,49.78887341158165,8.450316230318709,15,4.593942786836021,Moto,Sunny,High,Metropolitian,False,0,1,1,56.30517547009413,121.09404888167577,Aumento_Velocidade
pedido_75.3662202893025_31,39.97807450557533,44.73393618453733,44.73393618453733,7.651917536234357,5,4.907812434539369,Moto,Sunny,High,Urban,True,1,1,1,75.3662202893025,125.10015647383983,Nenhuma
pedido_48.76911734162836_20,101.3635911593818,83.80477998459519,68.80477998459519,16.84753416020041,10,4.818476750465899,Moto,Sunny,Medium,Metropolitian,False,0,0,1,48.76911734162836,127.57389732622354,Rota_Reduzida
pedido_9.986160725557802_2,139.58994228304255,119.27558214183512,104.27558214183512,13.545409225718176,15,4.4666618517064025,Moto,Stormy,Jam,Metropolitian,False,0,1,0,9.986160725557802,129.2617428673929,Aumento_Velocidade
pedido_14.04393098944647_6,125.79619517010295,131.30849334596047,111.30849334596047,3.5792051599481143,5,4.868710605798745,Moto,Foggy,High,Other,False,0,1,0,14.04393098944647,130.35242433540694,Rota_Reduzida
pedido_48.740867490231444_19,102.09633471450908,95.0090314137542,80.0090314137542,7.496614651293697,5,4.458899779255931,Moto,Sunny,Jam,Metropolitian,False,0,1,1,48.740867490231444,133.74989890398564,Aumento_Velocidade
pedido_9.70610113376205_1,131.66529020259978,109.46756080674724,109.46756080674724,8.143542422432128,15,4.483127431406919,Van,Windy,High,Metropolitian,False,0,1,0,9.70610113376205,134.1736619405093,Nenhuma
pedido_20.432751915021402_10,132.67599241689362,124.64101932072174,109.64101932072174,3.8942777045701575,5,4.599341412521473,Moto,Sandstorms,Medium,Metropolitian,True,0,0,0,20.432751915021402,135.07377123574315,Rota_Reduzida
pedido_19.378574996688524_9,135.30151459355622,124.84498544064087,109.84498544064087,20.2054380886048,10,4.724552732360568,Moto,Stormy,Medium,Metropolitian,False,0,0,0,19.378574996688524,139.22356043732938,Rota_Reduzida
pedido_54.19602262146107_21,110.70232161893762,80.593786570359,80.593786570359,9.920295341907885,15,4.802724024767887,Van,Sunny,Low,Semi-Urban,False,0,0,1,54.19602262146107,149.78980919182007,Nenhuma
pedido_18.439047584375004_8,130.5619103479577,141.55451198589518,126.55451198589518,5.967896566117783,5,4.773481926237286,Scooter,Sandstorms,High,Metropolitian,True,0,1,0,18.439047584375004,149.99355957027018,Aumento_Velocidade
pedido_30.500112300456934_12,138.2951531495596,119.71753031270322,104.71753031270322,10.97976317172247,15,5.0,Moto,Windy,High,Metropolitian,True,0,1,0,30.500112300456934,150.21764261316014,Aumento_Velocidade
pedido_36.46321900856368_14,135.02005258565518,117.10714936149395,102.10714936149395,9.765485917821662,15,4.863351694267895,Moto,Windy,Medium,Metropolitian,False,0,0,0,36.46321900856368,153.57036837005762,Rota_Reduzida
pedido_112.21977784968065_53,46.45543077678589,28.609992641713163,28.609992641713163,1.392999751675756,15,4.752221698717887,Scooter,Windy,Jam,Metropolitian,False,1,1,0,112.21977784968065,155.82977049139382,Nenhuma
pedido_65.18464638770453_25,104.57363651468671,101.14327730424125,86.14327730424125,16.037468699150445,5,4.975958522016304,Moto,Sunny,High,Metropolitian,True,0,1,1,65.18464638770453,156.32792369194578,Aumento_Velocidade
pedido_26.36269532288827_11,133.12357893747864,134.99991653590044,119.99991653590044,15.15080322070801,10,4.757958506035153,Scooter,Stormy,Jam,Metropolitian,False,0,1,0,26.36269532288827,156.3626118587887,Aumento_Velocidade
pedido_39.819216255993894_15,139.67404650784533,125.25546109783696,105.25546109783696,13.869231156548226,15,4.607102573903911,Moto,Foggy,Jam,Other,True,0,1,0,39.819216255993894,160.07467735383085,Rota_Reduzida
pedido_100.76905851136746_45,99.2408284192175,71.68726483219768,56.687264832197684,0.6687732766315442,5,4.739066425457842,Scooter,Sunny,High,Metropolitian,True,0,1,1,100.76905851136746,162.45632334356515,Aumento_Velocidade
pedido_47.00483149165237_17,131.2909718430677,120.74106719672764,105.74106719672764,1.2014051262341843,10,5.0,Moto,Sandstorms,Medium,Metropolitian,False,0,0,0,47.00483149165237,162.74589868838,Rota_Reduzida
pedido_67.65851180562434_26,98.74421943099154,107.43112881624855,92.43112881624855,5.899377472685904,5,4.622138033258209,Moto,Sunny,High,Metropolitian,False,0,1,1,67.65851180562434,165.0896406218729,Aumento_Velocidade
pedido_54.9590393453683_23,132.52653517314405,120.18871196641257,105.18871196641257,14.548051446478373,5,4.48188204863466,Moto,Windy,High,Metropolitian,False,0,1,0,54.9590393453683,165.14775131178087,Aumento_Velocidade
pedido_54.67296032920819_22,137.3976473499776,112.8485989649252,97.8485989649252,13.125220090457724,15,5.0,Scooter,Sandstorms,Medium,Metropolitian,False,0,0,0,54.67296032920819,167.5215592941334,Rota_Reduzida
pedido_68.76800527915253_28,128.16817356125952,103.96295809366063,88.96295809366063,4.630401507060791,10,4.703991452586721,Moto,Sandstorms,Jam,Urban,False,0,1,0,68.76800527915253,167.73096337281316,Aumento_Velocidade
pedido_47.0859611742666_18,138.03102130555772,126.01019338926994,111.01019338926994,13.071018983573662,15,4.970528937937321,Moto,Windy,High,Metropolitian,False,0,1,0,47.0859611742666,173.09615456353654,Aumento_Velocidade
pedido_92.17052062442407_40,94.34476133549127,67.74312534313589,67.74312534313589,1.5489056812184776,15,4.775565424438048,Van,Sunny,Low,Semi-Urban,False,0,0,1,92.17052062442407,174.91364596755994,Nenhuma
pedido_68.07930240451611_27,101.92106332080041,112.87198235912851,97.87198235912851,14.875298022532775,10,4.84897839566645,Moto,Sunny,High,Urban,False,0,1,1,68.07930240451611,175.95128476364462,Aumento_Velocidade
pedido_16.535965420569756_7,186.47231209472247,164.60219524925867,149.60219524925867,3.9354659387478135,10,4.341325219385591,Moto,Sunny,Jam,Urban,False,0,1,1,16.535965420569756,176.13816066982844,Aumento_Velocidade
pedido_69.37638139534782_29,134.50424194718346,113.57424726695348,98.57424726695348,13.486048367728932,15,4.756826090183882,Moto,Sandstorms,High,Metropolitian,False,0,1,0,69.37638139534782,182.9506286623013,Aumento_Velocidade
