id_pedido,previsao_min,tempo_real_min,tempo_corrigido_min,delivery_distance,tempo_coleta,Agent_Rating,Vehicle,Weather,Traffic,Area,weekend,is_grocery,jam_or_high_traffic,is_sunny_weather,tempo_criacao_sim,tempo_conclusao_sim,decisao,is_otd_corrigido
pedido_4.1746831265637345_1,92.59648015729374,75.5665766585457,60.5665766585457,20.001657882915342,10,4.515129471409759,Scooter,Sunny,Medium,Urban,False,0,0,1,4.1746831265637345,74.74125978510943,Intervenção_Médio_Risco,1
pedido_7.4101644479337345_4,109.25438156839473,92.89887175057552,62.89887175057552,14.34214547740048,15,4.8175686655325505,Scooter,Sandstorms,High,Other,False,0,1,0,7.4101644479337345,85.30903619850926,Intervencao_Risco_Extremo,1
pedido_15.497202650708434_10,105.76905173867291,90.8130004137116,75.8130004137116,17.66064618947409,10,4.8614013441940775,Moto,Sandstorms,Medium,Metropolitian,True,0,0,0,15.497202650708434,101.31020306442004,Intervenção_Médio_Risco,1
pedido_8.64792289869956_5,109.12733869751095,105.840928668687,90.840928668687,4.940241196238355,5,4.901546055300651,Scooter,Sandstorms,Jam,Metropolitian,False,0,1,0,8.64792289869956,104.48885156738656,Intervenção_Alto_Risco,1
pedido_13.201061436795566_8,96.39574191312903,104.68211281219943,89.68211281219943,7.511041158861257,5,4.564044462064229,Moto,Sunny,High,Metropolitian,True,0,1,1,13.201061436795566,107.883174248995,Intervenção_Alto_Risco,1
pedido_10.909588736526_6,104.76356526476998,113.00149879114744,98.00149879114744,14.21282545331019,5,4.725737723107023,Moto,Windy,Medium,Metropolitian,False,0,0,0,10.909588736526,113.91108752767344,Intervenção_Médio_Risco,1
pedido_4.2227890128201935_2,123.79011711813602,134.80296304138946,104.80296304138946,14.168772848116273,5,4.984496310717646,Scooter,Windy,Jam,Metropolitian,False,0,1,0,4.2227890128201935,114.02575205420965,Intervencao_Risco_Extremo,1
pedido_28.741994357137948_16,116.46673462696023,100.40096791955655,70.40096791955655,19.30899651976073,15,4.703479302230825,Moto,Foggy,High,Urban,True,0,1,0,28.741994357137948,114.1429622766945,Intervencao_Risco_Extremo,1
pedido_16.385484741638212_11,128.0559604488744,122.93492840698624,92.93492840698624,16.94316179032991,5,4.684111131305494,Moto,Foggy,High,Metropolitian,True,0,1,0,16.385484741638212,114.32041314862445,Intervencao_Risco_Extremo,1
pedido_42.706249456618345_19,126.71590637396551,96.9592292913764,66.9592292913764,18.407531662312536,10,4.956664645231122,Moto,Foggy,High,Metropolitian,True,0,1,0,42.706249456618345,119.66547874799474,Intervencao_Risco_Extremo,1
pedido_52.27460450590746_23,91.90026314957615,75.64278133184374,60.642781331843736,20.233980628304337,10,4.687477687074889,Scooter,Sunny,High,Other,False,0,1,1,52.27460450590746,122.9173858377512,Intervenção_Alto_Risco,1
pedido_6.64502587993989_3,149.36483339488697,119.90382099015358,104.90382099015358,7.487326477357126,15,5.0105817398297035,Moto,Foggy,High,Urban,False,0,1,0,6.64502587993989,126.54884687009347,Intervenção_Alto_Risco,1
pedido_28.13386593532575_15,95.28211867358138,88.61491164417082,88.61491164417082,18.31096135565224,10,4.566038233760183,Scooter,Sandstorms,Low,Urban,False,0,0,0,28.13386593532575,126.74877757949656,Nenhuma,1
pedido_62.35751131493649_31,89.30589928838549,71.55262066180374,56.55262066180374,2.647287850659759,15,4.575328826853527,Moto,Sandstorms,Medium,Metropolitian,True,0,0,0,62.35751131493649,133.91013197674022,Intervenção_Médio_Risco,1
pedido_50.78243348218035_22,102.79054598382612,83.96938416024332,68.96938416024332,11.16720423050513,15,4.738662450095346,Scooter,Sunny,Medium,Metropolitian,False,0,0,1,50.78243348218035,134.75181764242367,Intervenção_Médio_Risco,1
pedido_13.161341179051522_7,156.37736954895308,142.82275567430685,112.82275567430685,14.99549448709304,10,4.888063914582933,Van,Stormy,Jam,Urban,True,0,1,0,13.161341179051522,135.98409685335838,Intervencao_Risco_Extremo,1
pedido_23.380461138960605_13,139.31238699419166,119.58230415030553,104.58230415030553,8.589593316487466,10,4.52567859050482,Scooter,Stormy,Medium,Metropolitian,False,0,0,0,23.380461138960605,137.96276528926614,Intervenção_Médio_Risco,1
pedido_78.89595525909336_40,81.6655550488609,59.33121579837787,44.33121579837787,3.7194908782225795,15,4.762200802817005,Moto,Foggy,Medium,Urban,False,0,0,0,78.89595525909336,138.22717105747122,Intervenção_Médio_Risco,1
pedido_57.926829499991705_28,109.54313047314344,87.1537952723558,72.1537952723558,7.149083654265292,10,4.941921787907448,Moto,Stormy,High,Metropolitian,False,0,1,0,57.926829499991705,140.0806247723475,Intervenção_Alto_Risco,1
pedido_14.314824723498603_9,129.18559103847036,126.39398959841733,111.39398959841733,10.140268010173319,15,4.721341926268108,Moto,Foggy,Medium,Metropolitian,False,0,0,0,14.314824723498603,140.70881432191595,Intervenção_Médio_Risco,1
pedido_64.473911542872_33,98.2473972903944,79.58748253258268,64.58748253258268,18.138844261139337,15,4.5171081871119005,Moto,Sunny,High,Metropolitian,False,0,1,1,64.473911542872,144.0613940754547,Intervenção_Alto_Risco,1
pedido_53.11378042574177_24,107.89609872450232,80.54540053417414,80.54540053417414,6.663153734040957,15,4.62352068534043,Moto,Sandstorms,Low,Metropolitian,True,0,0,0,53.11378042574177,148.6591809599159,Nenhuma,1
pedido_42.716837763228774_20,109.7503324640757,113.70327037370456,98.70327037370456,1.0838054767633647,10,4.754874101726601,Moto,Windy,High,Metropolitian,False,0,1,0,42.716837763228774,151.42010813693332,Intervenção_Alto_Risco,1
pedido_57.55221658242363_27,99.59582396248541,85.54217165737656,85.54217165737656,14.02154051583681,10,4.613766212831727,Van,Sunny,High,Metropolitian,True,0,1,1,57.55221658242363,153.0943882398002,Nenhuma,1
pedido_64.14935183765081_32,124.48733083223188,104.49639888586172,74.49639888586172,13.649859200065057,15,5.038007014010874,Moto,Windy,High,Metropolitian,False,0,1,0,64.14935183765081,153.64575072351255,Intervencao_Risco_Extremo,1
pedido_77.07665243547007_39,90.37916063453159,95.35205871228885,80.35205871228885,17.84149683753782,5,4.664355425705317,Moto,Sunny,Jam,Urban,False,0,1,1,77.07665243547007,162.42871114775892,Intervenção_Alto_Risco,1
pedido_43.4136591714737_21,174.45005894722252,137.7206098703617,107.7206098703617,18.357609559197776,15,4.299571775963047,Scooter,Sandstorms,Jam,Urban,False,0,1,0,43.4136591714737,166.1342690418354,Intervencao_Risco_Extremo,1
pedido_38.704180709436194_18,142.7208206321639,135.98336919732046,120.98336919732046,1.1427348894290423,10,4.383447146452412,Moto,Foggy,Medium,Metropolitian,False,0,0,0,38.704180709436194,169.68754990675666,Intervenção_Médio_Risco,0
pedido_55.586283107519776_25,162.38757830544915,130.4016819668542,100.4016819668542,11.934871944509878,15,4.609875715901273,Van,Foggy,Jam,Urban,True,0,1,0,55.586283107519776,170.98796507437396,Intervencao_Risco_Extremo,1
pedido_75.75894401531373_38,109.61964536586763,96.07506640528754,81.07506640528754,5.58058260893325,15,4.736816373440798,Moto,Sandstorms,High,Metropolitian,False,0,1,0,75.75894401531373,171.83401042060126,Intervenção_Alto_Risco,1
