Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,pickup_duration,dist_gte_10,month,holiday,weekend,day_sin,day_cos,month_sin,month_cos,delivery_distance,is_grocery,jam_or_high_traffic,is_sunny_weather,order_cicle_time
37,4.9,Sunny,High,motorcycle,Urban,15,0,3,0,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,3.0251535591580203,0,1,1,135
34,4.5,Stormy,Jam,scooter,Metropolitian,5,1,3,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,20.1835582410186,0,1,0,170
23,4.4,Sandstorms,Low,motorcycle,Urban,15,0,3,0,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.552759995759618,0,0,0,145
38,4.7,Sunny,Medium,motorcycle,Metropolitian,10,0,4,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,7.790412365224583,0,0,1,115
32,4.6,Cloudy,High,scooter,Metropolitian,15,0,3,0,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,6.21014673838212,0,1,0,165
22,4.8,Cloudy,Jam,motorcycle,Urban,10,0,3,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,4.610371657194344,0,1,0,140
33,4.7,Fog,Jam,scooter,Metropolitian,15,1,3,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,16.600384578430596,0,1,0,215
35,4.6,Cloudy,Medium,motorcycle,Metropolitian,5,1,3,0,0,0.0,1.0,1.0,6.123233995736766e-17,20.205281778265405,0,0,0,165
22,4.8,Stormy,Jam,motorcycle,Metropolitian,10,1,3,0,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,19.97554830466147,0,1,0,180
36,4.2,Fog,Jam,motorcycle,Metropolitian,15,1,2,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,10.280596587497062,0,1,0,245
21,4.7,Stormy,High,motorcycle,Metropolitian,10,0,2,0,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,6.242327500919352,0,1,0,125
23,4.7,Sandstorms,Medium,scooter,Metropolitian,10,1,3,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,13.787879716608028,0,0,0,115
34,4.3,Sandstorms,Low,motorcycle,Metropolitian,10,0,2,0,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,2.9302619401936263,0,0,0,110
24,4.7,Fog,Jam,scooter,Metropolitian,15,1,2,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,19.3966456913153,0,1,0,220
29,4.5,Sandstorms,Jam,van,Metropolitian,10,1,4,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,13.763996668124861,0,1,0,110
35,4.0,Windy,High,scooter,Metropolitian,15,0,3,0,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,6.21800997405261,1,1,0,48
33,4.2,Sandstorms,Jam,motorcycle,Metropolitian,10,1,3,0,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,16.849963721102373,0,1,0,210
34,4.9,Cloudy,Jam,motorcycle,Metropolitian,10,1,3,0,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,10.75712399629931,0,1,0,215
21,4.7,Windy,Jam,motorcycle,Urban,15,0,2,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,4.540580802978441,0,1,0,90
25,4.1,Sandstorms,Jam,motorcycle,Metropolitian,5,1,3,0,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,12.25609375902727,0,1,0,185
31,4.7,Sandstorms,Low,van,Metropolitian,15,1,3,0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,19.61876706323459,0,0,0,145
37,5.0,Sandstorms,Low,motorcycle,Metropolitian,15,0,3,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1.5581344666540098,0,0,0,115
33,4.3,Windy,Jam,scooter,Metropolitian,15,1,3,0,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,20.18066362231061,0,1,0,210
25,4.0,Cloudy,High,motorcycle,Metropolitian,5,0,3,0,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,6.116980310828776,0,1,0,175
29,4.5,Sunny,Medium,van,Metropolitian,15,1,3,0,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,17.075618522929858,0,0,1,90
27,5.0,Stormy,Jam,motorcycle,Urban,5,0,4,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,4.4702928043892545,0,1,0,95
35,4.3,Cloudy,Low,scooter,Metropolitian,10,1,3,0,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,13.682063854036086,0,0,0,200
32,4.0,Windy,Jam,motorcycle,Metropolitian,15,1,3,0,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,13.973202393148943,0,1,0,250
23,4.8,Windy,Low,van,Urban,10,1,4,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,16.853642538136235,0,0,0,70
31,4.8,Sandstorms,Low,motorcycle,Metropolitian,15,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,4.674178727237529,0,0,0,145
36,4.1,Stormy,Low,motorcycle,Urban,5,0,3,0,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,7.601627509502902,0,0,0,115
26,4.3,Sandstorms,Low,motorcycle,Urban,10,0,2,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,7.720335319304897,0,0,0,115
38,4.9,Cloudy,High,scooter,Urban,5,0,2,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,6.1756449850363655,0,1,0,130
32,4.6,Cloudy,Low,scooter,Metropolitian,10,1,4,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,19.91471509804895,0,0,0,160
